ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006958	complement activation, classical pathway	68/1327	137/18670	1.63318745538498e-41	8.63139570170961e-38	8.63139570170961e-38	CR2/IGLL1/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	68
BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	69/1327	150/18670	2.35545546907417e-39	6.2242910770285e-36	6.2242910770285e-36	BCL3/CR2/IGLL1/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	69
BP	GO:0006956	complement activation	70/1327	175/18670	4.57539262901499e-35	8.06031668144808e-32	8.06031668144808e-32	CR2/IGLL1/CFHR5/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/CFHR1/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	70
BP	GO:0019724	B cell mediated immunity	76/1327	221/18670	1.06816038604024e-32	1.41130691005567e-29	1.41130691005567e-29	ERCC1/FOXP3/BCL3/SLA2/CD40LG/CR2/IGLL1/NECTIN2/CD27/INPP5D/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	76
BP	GO:0016064	immunoglobulin mediated immune response	75/1327	218/18670	2.69981046998034e-32	2.85369966676922e-29	2.85369966676922e-29	ERCC1/FOXP3/BCL3/CD40LG/CR2/IGLL1/NECTIN2/CD27/INPP5D/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	75
BP	GO:0002920	regulation of humoral immune response	55/1327	134/18670	1.75690315435494e-28	1.44411061727051e-25	1.44411061727051e-25	CR2/CCR7/SPINK5/CFHR5/CXCL13/SPNS2/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/CFHR1/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	55
BP	GO:0030449	regulation of complement activation	51/1327	115/18670	1.91272929439803e-28	1.44411061727051e-25	1.44411061727051e-25	CR2/CFHR5/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/IGHG4/IGHG2/IGHG1/IGHG3/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-23/IGHV3-33/IGHV4-34/IGHV4-39/IGHV3-53/IGHV4-59/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/CFHR1/IGKV3-15/IGKV1D-39/IGHV1OR15-1/IGHV3-30/IGKV1D-12	51
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	108/1327	473/18670	2.63098504119048e-28	1.5449728825213e-25	1.5449728825213e-25	CD79B/FOXP3/CBFB/ICAM3/CEACAM1/PSEN1/HSP90AA1/PSMD8/CRKL/PSMC6/PSMC1/PSMB5/SLA2/PSMD10/PSMD7/CD79A/LIMK1/PSMD9/ITK/FOXP1/CR2/CCR7/IGLL1/NECTIN2/TEC/BLK/MS4A1/PSMC2/CRK/INPP5D/PTK2/MUC15/THEMIS/PAWR/MUC16/CD3E/MUC21/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/TRAV8-4/TRAV19/TRAV29DV5/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	108
BP	GO:0002757	immune response-activating signal transduction	108/1327	473/18670	2.63098504119048e-28	1.5449728825213e-25	1.5449728825213e-25	CD79B/FOXP3/CBFB/ICAM3/CEACAM1/PSEN1/HSP90AA1/PSMD8/CRKL/PSMC6/PSMC1/PSMB5/SLA2/PSMD10/PSMD7/CD79A/LIMK1/PSMD9/ITK/FOXP1/CR2/CCR7/IGLL1/NECTIN2/TEC/BLK/MS4A1/PSMC2/CRK/INPP5D/PTK2/MUC15/THEMIS/PAWR/MUC16/CD3E/MUC21/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/TRAV8-4/TRAV19/TRAV29DV5/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/ARPC1A/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	108
BP	GO:0002449	lymphocyte mediated immunity	90/1327	352/18670	1.60429338405815e-27	8.47869053474734e-25	8.47869053474734e-25	ERCC1/FOXP3/BCL3/CEACAM1/P2RX7/ICAM1/SLA2/CD40LG/CORO1A/ULBP1/CR2/IGLL1/NECTIN2/CD27/FAM49B/AIRE/HPRT1/CRK/FADD/INPP5D/RASGRP1/LAMP1/GZMM/IGKC/IGKV4-1/IGKV5-2/IGKV3D-20/IGKV3D-11/IGLV6-57/IGLV1-51/IGLV1-47/IGLV1-44/IGLV7-43/IGLV1-40/IGLV3-27/IGLV3-25/IGLV2-23/IGLV3-19/IGLV2-14/IGLV2-11/IGLC2/IGLC3/IGLC7/TRBC2/IGHA2/IGHG4/IGHG2/IGHG1/IGHG3/IGHV6-1/IGHV2-5/IGHV3-7/IGHV3-11/IGHV3-13/IGHV3-15/IGHV3-21/IGHV3-23/IGHV2-26/IGHV4-28/IGHV3-33/IGHV4-34/IGHV4-39/IGHV1-45/IGHV3-49/IGHV5-51/IGHV3-53/IGHV1-58/IGHV3-66/IGHV3-73/IGHV3-64/IGHV4-59/IGHV3-74/IGHV4-31/IGKV2D-30/IGKV3-20/IGKV1D-33/IGKV1-17/IGKV1-16/IGKV1-39/IGKV2D-28/IGKV2-30/IGKV1-5/IGKV3-15/IGKV1D-39/IGLL5/KLRC4-KLRK1/IGHV1OR15-1/IGHV3-30/IGKV1D-12/IGHV1-69-2	90
