ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05322	Systemic lupus erythematosus	22/539	136/8104	8.22458577979093e-05	0.0255784617751498	0.025452928623774	286436/959/3458/158983/3017/8365/317772/8340/8329/8337/3111/3112/8344/8361/8348/8369/8345/8331/8332/8367/8336/8357	22
hsa05034	Alcoholism	24/539	187/8104	0.00138010349936127	0.179109124250858	0.178230098256058	10681/286436/1386/158983/2354/2770/805/3017/8365/317772/8340/8329/801/8337/8344/8361/8348/8369/8345/8331/8332/8367/8336/8357	24
hsa04728	Dopaminergic synapse	18/539	132/8104	0.00272686563555327	0.179109124250858	0.178230098256058	5525/10681/5527/1312/5516/208/1386/2770/50632/408/5519/207/805/817/5529/5578/801/5520	18
hsa03050	Proteasome	9/539	46/8104	0.00285631222045315	0.179109124250858	0.178230098256058	5714/5706/5700/5693/5713/5715/3458/7979/5701	9
hsa05340	Primary immunodeficiency	8/539	38/8104	0.00300165991509882	0.179109124250858	0.178230098256058	959/973/3718/3543/326/926/5897/916	8
hsa04613	Neutrophil extracellular trap formation	23/539	190/8104	0.00367987058241143	0.179109124250858	0.178230098256058	286436/208/158983/207/5578/3017/8365/6403/317772/8340/8329/10533/8337/8344/8361/8348/8369/8345/8331/8332/8367/8336/8357	23
hsa05203	Viral carcinogenesis	24/539	204/8104	0.0044008540348541	0.179109124250858	0.178230098256058	4791/22938/5700/286436/55697/3718/7531/1386/894/158983/3017/8365/2957/6774/387332/1233/8340/2961/8344/8361/8348/8369/8345/8367	24
hsa05144	Malaria	9/539	50/8104	0.00512687913138515	0.179109124250858	0.178230098256058	6401/3383/959/3458/7412/4615/6403/3039/100528032	9
hsa04130	SNARE interactions in vesicular transport	7/539	33/8104	0.00518322224520169	0.179109124250858	0.178230098256058	10490/10282/6804/8674/8675/9482/51272	7
hsa01240	Biosynthesis of cofactors	19/539	156/8104	0.00740855896364703	0.219610215882751	0.218532419934096	2729/8630/10797/51109/2937/51004/7389/26289/80308/441024/79001/29925/64802/1728/122622/158/54658/9054/10941	19
hsa05169	Epstein-Barr virus infection	23/539	202/8104	0.00776756390582078	0.219610215882751	0.218532419934096	4791/3383/5714/5706/22938/5700/5713/4793/208/3718/1380/894/7979/207/4794/5701/8772/6774/4615/916/3111/3112/9641	23
hsa04217	Necroptosis	19/539	159/8104	0.00904214242827429	0.234342191266109	0.233192094202863	330/3320/8797/3718/3458/8795/81030/27243/817/91782/8772/6774/81858/317772/8329/8337/8331/8332/8336	19
hsa05143	African trypanosomiasis	7/539	37/8104	0.00992440535074863	0.237422312621756	0.236257099038064	6401/3383/3458/5578/7412/4615/3039	7
hsa03015	mRNA surveillance pathway	13/539	98/8104	0.0126030635807947	0.279968055259082	0.278594037049146	5525/29894/5527/10914/1477/5516/5519/81608/5529/10898/53981/5520/132430	13
hsa05165	Human papillomavirus infection	32/539	331/8104	0.0202702889665632	0.420270657906743	0.418208067099619	1856/3381/27175/3371/5525/3993/5527/5663/5700/5516/208/533/6696/894/92359/529/9550/5519/3695/207/8515/526/5529/8323/8772/5747/256076/122011/387332/131873/5520/9641	32
hsa04062	Chemokine signaling pathway	20/539	192/8104	0.0300296055331443	0.583700457550493	0.580835791233186	10681/1399/4793/208/3718/3702/2185/1236/2770/408/207/10563/7074/1398/6774/5747/10663/2829/1233/2833	20
hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	3/539	11/8104	0.032304033462085	0.590973788629908	0.588073426492446	51004/79001/1728	3
