id	name	logFC
ENSG00000001084.9	GCLC	0.199060935358948
ENSG00000002079.11	MYH16	0.482729355772253
ENSG00000004897.10	CDC27	0.168312205659474
ENSG00000004975.10	DVL2	0.35534396202119
ENSG00000005100.11	DHX33	0.189761742711919
ENSG00000005102.11	MEOX1	-0.647995954483956
ENSG00000005243.8	COPZ2	0.247232971319661
ENSG00000005448.15	WDR54	0.265589226792647
ENSG00000006071.10	ABCC8	-0.166852766689585
ENSG00000007306.13	CEACAM7	-1.86407071192273
ENSG00000007312.11	CD79B	-0.378372550348035
ENSG00000007341.17	ST7L	0.165210846075861
ENSG00000007908.14	SELE	-1.38887269232697
ENSG00000009790.13	TRAF3IP3	-0.463279055715902
ENSG00000009830.10	POMT2	0.161613514052781
ENSG00000009950.14	MLXIPL	1.24315466810039
ENSG00000011566.13	MAP4K3	0.135983153206725
ENSG00000012061.14	ERCC1	-0.221473346831402
ENSG00000012963.12	UBR7	0.172821470263432
ENSG00000014914.18	MTMR11	0.333922277049932
ENSG00000018510.11	AGPS	0.219488524818475
ENSG00000020426.9	MNAT1	0.376427068820445
ENSG00000020922.11	MRE11A	-0.208890375628995
ENSG00000022277.11	RTFDC1	0.0850207126457452
ENSG00000022976.14	ZNF839	0.35548832190043
ENSG00000023191.15	RNH1	-0.270190384428332
ENSG00000023445.12	BIRC3	-0.436552474756542
ENSG00000023608.4	SNAPC1	0.660013119631424
ENSG00000023839.9	ABCC2	0.186921720818922
ENSG00000025423.10	HSD17B6	0.381074381572628
ENSG00000026559.12	KCNG1	0.126195760257386
ENSG00000029559.6	IBSP	0.550982807739709
ENSG00000029993.13	HMGB3	0.319508172669627
ENSG00000036530.7	CYP46A1	0.239687555037024
ENSG00000037042.8	TUBG2	0.360837864864688
ENSG00000038532.13	CLEC16A	-0.307332756319039
ENSG00000040608.12	RTN4R	0.38946379981802
ENSG00000040633.11	PHF23	0.202548399136534
ENSG00000041982.13	TNC	0.636060774602909
ENSG00000042088.12	TDP1	0.195584255394044
ENSG00000042317.15	SPATA7	0.527117030723577
ENSG00000043514.14	TRIT1	0.286249602325072
ENSG00000046604.11	DSG2	0.362987331314474
ENSG00000048462.9	TNFRSF17	-0.647371783052573
ENSG00000049768.13	FOXP3	-0.544550154789791
ENSG00000050130.16	JKAMP	0.328218225168383
ENSG00000055070.15	SZRD1	0.0969049509007336
ENSG00000055211.11	GINM1	0.197893993207813
ENSG00000055732.11	MCOLN3	0.403004187822394
ENSG00000057657.13	PRDM1	-0.388915080028704
